colour	x	key	showSelected2	showSelected3	group
#00BFC4	-2.78675652248785	1	39	prediction	163
#00BFC4	-2.78675652248785	1	40	prediction	164
#00BFC4	-2.64639373635873	1	0	prediction	165
#00BFC4	-2.64639373635873	1	1	prediction	166
#00BFC4	-2.64639373635873	1	2	prediction	167
#00BFC4	-2.64639373635873	1	3	prediction	168
#00BFC4	-2.64639373635873	1	4	prediction	169
#00BFC4	-2.64639373635873	1	5	prediction	170
#00BFC4	-2.64639373635873	1	6	prediction	171
#00BFC4	-2.64639373635873	1	7	prediction	172
#00BFC4	-2.64639373635873	1	8	prediction	173
#00BFC4	-2.64639373635873	1	9	prediction	174
#00BFC4	-2.64639373635873	1	10	prediction	175
#00BFC4	-2.64639373635873	1	11	prediction	176
#00BFC4	-2.64639373635873	1	12	prediction	177
#00BFC4	-2.64639373635873	1	13	prediction	178
#00BFC4	-2.64639373635873	1	14	prediction	179
#00BFC4	-2.64639373635873	1	15	prediction	180
#00BFC4	-2.64639373635873	1	16	prediction	181
#00BFC4	-2.64639373635873	1	17	prediction	182
#00BFC4	-2.64639373635873	1	18	prediction	183
#00BFC4	-2.64639373635873	1	19	prediction	184
#00BFC4	-2.64639373635873	1	20	prediction	185
#00BFC4	-2.64639373635873	1	21	prediction	186
#00BFC4	-2.64639373635873	1	22	prediction	187
#00BFC4	-2.64639373635873	1	23	prediction	188
#00BFC4	-2.64639373635873	1	24	prediction	189
#00BFC4	-2.64639373635873	1	25	prediction	190
#00BFC4	-2.64639373635873	1	26	prediction	191
#00BFC4	-2.64639373635873	1	27	prediction	192
#00BFC4	-2.64639373635873	1	28	prediction	193
#00BFC4	-2.64639373635873	1	29	prediction	194
#00BFC4	-2.64639373635873	1	30	prediction	195
#00BFC4	-2.64639373635873	1	31	prediction	196
#00BFC4	-2.64639373635873	1	32	prediction	197
#00BFC4	-2.64639373635873	1	33	prediction	198
#00BFC4	-2.64639373635873	1	34	prediction	199
#00BFC4	-2.64639373635873	1	35	prediction	200
#00BFC4	-2.64639373635873	1	36	prediction	201
#00BFC4	-2.64639373635873	1	37	prediction	202
#00BFC4	-2.64639373635873	1	38	prediction	203
#00BFC4	-2.64639373635873	1	39	prediction	204
#00BFC4	-2.64639373635873	1	40	prediction	205
#00BFC4	-2.62928237719461	1	0	prediction	206
#00BFC4	-2.62928237719461	1	1	prediction	207
#00BFC4	-2.62928237719461	1	2	prediction	208
#00BFC4	-2.62928237719461	1	3	prediction	209
#00BFC4	-2.62928237719461	1	4	prediction	210
#00BFC4	-2.62928237719461	1	5	prediction	211
#00BFC4	-2.62928237719461	1	6	prediction	212
#00BFC4	-2.62928237719461	1	7	prediction	213
#00BFC4	-2.62928237719461	1	8	prediction	214
#00BFC4	-2.62928237719461	1	9	prediction	215
#00BFC4	-2.62928237719461	1	10	prediction	216
#00BFC4	-2.62928237719461	1	11	prediction	217
#00BFC4	-2.62928237719461	1	12	prediction	218
#00BFC4	-2.62928237719461	1	13	prediction	219
#00BFC4	-2.62928237719461	1	14	prediction	220
#00BFC4	-2.62928237719461	1	15	prediction	221
#00BFC4	-2.62928237719461	1	16	prediction	222
#00BFC4	-2.62928237719461	1	17	prediction	223
#00BFC4	-2.62928237719461	1	18	prediction	224
#00BFC4	-2.62928237719461	1	19	prediction	225
#00BFC4	-2.62928237719461	1	20	prediction	226
#00BFC4	-2.62928237719461	1	21	prediction	227
#00BFC4	-2.62928237719461	1	22	prediction	228
#00BFC4	-2.62928237719461	1	23	prediction	229
#00BFC4	-2.62928237719461	1	24	prediction	230
#00BFC4	-2.62928237719461	1	25	prediction	231
#00BFC4	-2.62928237719461	1	26	prediction	232
#00BFC4	-2.62928237719461	1	27	prediction	233
#00BFC4	-2.62928237719461	1	28	prediction	234
#00BFC4	-2.62928237719461	1	29	prediction	235
#00BFC4	-2.62928237719461	1	30	prediction	236
#00BFC4	-2.62928237719461	1	31	prediction	237
#00BFC4	-2.62928237719461	1	32	prediction	238
#00BFC4	-2.62928237719461	1	33	prediction	239
#00BFC4	-2.62928237719461	1	34	prediction	240
#00BFC4	-2.62928237719461	1	35	prediction	241
#00BFC4	-2.62928237719461	1	36	prediction	242
#00BFC4	-2.62928237719461	1	37	prediction	243
#00BFC4	-2.62928237719461	1	38	prediction	244
#00BFC4	-2.62928237719461	1	39	prediction	245
#00BFC4	-2.62928237719461	1	40	prediction	246
#00BFC4	-2.61714911693707	1	0	prediction	247
#00BFC4	-2.61714911693707	1	1	prediction	248
#00BFC4	-2.61714911693707	1	2	prediction	249
#00BFC4	-2.61714911693707	1	3	prediction	250
#00BFC4	-2.61714911693707	1	4	prediction	251
#00BFC4	-2.61714911693707	1	5	prediction	252
#00BFC4	-2.61714911693707	1	6	prediction	253
#00BFC4	-2.61714911693707	1	7	prediction	254
#00BFC4	-2.61714911693707	1	8	prediction	255
#00BFC4	-2.61714911693707	1	9	prediction	256
#00BFC4	-2.61714911693707	1	10	prediction	257
#00BFC4	-2.61714911693707	1	11	prediction	258
#00BFC4	-2.61714911693707	1	12	prediction	259
#00BFC4	-2.61714911693707	1	13	prediction	260
#00BFC4	-2.61714911693707	1	14	prediction	261
#00BFC4	-2.61714911693707	1	15	prediction	262
#00BFC4	-2.61714911693707	1	16	prediction	263
#00BFC4	-2.61714911693707	1	17	prediction	264
#00BFC4	-2.61714911693707	1	18	prediction	265
#00BFC4	-2.61714911693707	1	19	prediction	266
#00BFC4	-2.61714911693707	1	20	prediction	267
#00BFC4	-2.61714911693707	1	21	prediction	268
#00BFC4	-2.61714911693707	1	22	prediction	269
#00BFC4	-2.61714911693707	1	23	prediction	270
#00BFC4	-2.61714911693707	1	24	prediction	271
#00BFC4	-2.61714911693707	1	25	prediction	272
#00BFC4	-2.61714911693707	1	26	prediction	273
#00BFC4	-2.61714911693707	1	27	prediction	274
#00BFC4	-2.61714911693707	1	28	prediction	275
#00BFC4	-2.61714911693707	1	29	prediction	276
#00BFC4	-2.61714911693707	1	30	prediction	277
#00BFC4	-2.61714911693707	1	31	prediction	278
#00BFC4	-2.61714911693707	1	32	prediction	279
#00BFC4	-2.61714911693707	1	33	prediction	280
#00BFC4	-2.61714911693707	1	34	prediction	281
